iter	Passed	Remaining
0	9	4791
1	19	4853
2	29	4851
3	39	4937
4	49	4887
5	59	4921
6	70	4953
7	80	4951
8	90	4959
9	100	4929
10	109	4868
11	118	4823
12	128	4797
13	136	4742
14	146	4743
15	156	4745
16	164	4687
17	174	4672
18	178	4512
19	181	4365
20	185	4240
21	189	4115
22	192	3996
23	197	3921
24	202	3838
25	206	3757
26	210	3680
27	213	3601
28	217	3538
29	221	3472
30	225	3417
31	229	3356
32	233	3307
33	237	3249
34	241	3210
35	245	3159
36	248	3113
37	253	3079
38	257	3039
39	260	2994
40	264	2960
41	268	2926
42	272	2897
43	276	2863
44	279	2828
45	283	2796
46	287	2770
47	290	2739
48	295	2716
49	298	2688
50	302	2661
51	306	2641
52	310	2619
53	313	2591
54	320	2596
55	331	2628
56	342	2663
57	350	2674
58	361	2700
59	369	2710
60	373	2691
61	378	2673
62	383	2663
63	388	2644
64	394	2643
65	399	2625
66	403	2610
67	408	2594
68	412	2577
69	416	2558
70	421	2545
71	425	2530
72	430	2516
73	434	2501
74	438	2485
75	443	2474
76	447	2460
77	451	2443
78	455	2429
79	462	2426
80	466	2415
81	471	2401
82	476	2394
83	480	2377
84	484	2364
85	488	2353
86	492	2337
87	496	2323
88	500	2312
89	505	2304
90	510	2294
91	514	2283
92	521	2281
93	541	2337
94	545	2326
95	549	2314
96	554	2302
97	558	2292
98	563	2281
99	568	2273
100	573	2263
101	590	2304
102	594	2290
103	598	2279
104	603	2270
105	607	2256
106	611	2245
107	615	2235
108	620	2224
109	631	2238
110	635	2228
111	639	2216
112	644	2206
113	648	2196
114	654	2190
115	659	2181
116	664	2175
117	669	2167
118	673	2155
119	677	2145
120	681	2135
121	685	2124
122	692	2122
123	696	2112
124	701	2105
125	705	2095
126	710	2086
127	715	2079
128	720	2070
129	724	2060
130	728	2051
131	732	2043
132	737	2035
133	741	2025
134	746	2017
135	749	2007
136	753	1997
137	759	1992
138	764	1984
139	768	1976
140	772	1967
141	777	1959
142	781	1951
143	785	1942
144	789	1932
145	793	1924
146	797	1914
147	801	1906
148	805	1898
149	810	1890
150	814	1882
151	819	1875
152	823	1867
153	827	1859
154	836	1860
155	840	1854
156	845	1846
157	849	1839
158	855	1833
159	859	1825
160	862	1816
161	867	1809
162	871	1802
163	875	1794
164	880	1787
165	886	1783
166	891	1777
167	895	1769
168	900	1762
169	904	1754
170	908	1748
171	913	1741
172	917	1734
173	921	1725
174	925	1719
175	929	1710
176	934	1704
177	938	1697
178	941	1689
179	948	1685
180	952	1678
181	955	1670
182	960	1663
183	964	1655
184	970	1653
185	974	1645
186	979	1639
187	984	1633
188	988	1626
189	992	1619
190	997	1613
191	1001	1607
192	1005	1600
193	1009	1592
194	1013	1585
195	1018	1579
196	1023	1573
197	1027	1567
198	1031	1560
199	1037	1556
200	1041	1549
201	1045	1542
202	1049	1536
203	1053	1528
204	1057	1521
205	1061	1515
206	1065	1508
207	1069	1502
208	1074	1496
209	1079	1490
210	1083	1484
211	1087	1477
212	1092	1471
213	1096	1465
214	1102	1461
215	1106	1455
216	1110	1448
217	1114	1441
218	1119	1435
219	1122	1429
220	1127	1423
221	1131	1417
222	1136	1412
223	1141	1406
224	1145	1400
225	1150	1394
226	1154	1388
227	1158	1382
228	1163	1376
229	1167	1370
230	1171	1364
231	1176	1358
232	1180	1352
233	1184	1346
234	1189	1340
235	1193	1334
236	1197	1329
237	1203	1325
238	1208	1319
239	1211	1312
240	1216	1307
241	1219	1300
242	1224	1294
243	1228	1289
244	1232	1283
245	1236	1276
246	1240	1271
247	1245	1265
248	1249	1259
249	1254	1254
250	1258	1248
251	1263	1243
252	1267	1237
253	1272	1232
254	1277	1227
255	1282	1221
256	1289	1219
257	1300	1220
258	1310	1219
259	1324	1222
260	1336	1224
261	1350	1226
262	1365	1230
263	1373	1227
264	1385	1228
265	1400	1231
266	1407	1227
267	1412	1222
268	1416	1216
269	1420	1210
270	1425	1204
271	1430	1198
272	1434	1193
273	1443	1190
274	1449	1185
275	1453	1179
276	1458	1174
277	1462	1168
278	1467	1162
279	1471	1156
280	1477	1151
281	1481	1145
282	1485	1138
283	1489	1132
284	1494	1127
285	1498	1121
286	1502	1115
287	1507	1109
288	1511	1103
289	1518	1099
290	1530	1099
291	1545	1100
292	1557	1100
293	1566	1097
294	1573	1093
295	1580	1089
296	1587	1085
297	1597	1082
298	1606	1079
299	1610	1073
300	1619	1070
301	1628	1067
302	1636	1064
303	1648	1063
304	1661	1062
305	1672	1060
306	1686	1060
307	1703	1061
308	1707	1055
309	1711	1049
310	1716	1043
311	1722	1038
312	1727	1032
313	1734	1027
314	1747	1026
315	1757	1023
316	1765	1019
317	1772	1014
318	1775	1007
319	1780	1001
320	1785	995
321	1789	989
322	1795	983
323	1799	977
324	1804	971
325	1808	965
326	1813	959
327	1817	952
328	1821	946
329	1825	940
330	1831	935
331	1835	928
332	1840	922
333	1844	916
334	1848	910
335	1857	906
336	1861	900
337	1867	895
338	1872	889
339	1876	883
340	1881	877
341	1887	871
342	1891	865
343	1896	860
344	1901	854
345	1905	847
346	1909	842
347	1915	836
348	1920	830
349	1924	824
350	1929	818
351	1934	813
352	1938	807
353	1943	801
354	1947	795
355	1954	790
356	1958	784
357	1963	778
358	1967	772
359	1972	766
360	1977	761
361	1988	758
362	1997	753
363	2001	747
364	2004	741
365	2008	735
366	2013	729
367	2017	723
368	2022	717
