iter	F1	Logloss
0	0.5013444146	0.6916852561
1	0.5333177461	0.6901606716
2	0.5958593918	0.6884218761
3	0.6164630908	0.6866831522
4	0.6202942449	0.6854091934
5	0.6400945423	0.683814628
6	0.6457380015	0.6822168511
7	0.6638262496	0.6808231135
8	0.6631502741	0.6792583563
9	0.664673745	0.6777509261
10	0.6606288796	0.6763902039
11	0.6676173984	0.6748047248
12	0.6634723213	0.6733422218
13	0.6605917887	0.6720946726
14	0.6526748971	0.6709605289
15	0.6589654467	0.6696574759
16	0.6640926641	0.6682292611
17	0.6615900091	0.6668576709
18	0.6617886179	0.6656390043
19	0.6598902216	0.6644105324
20	0.6655817738	0.6632951927
21	0.6607759496	0.662027125
22	0.6618470624	0.660823832
23	0.6629350702	0.6597391371
24	0.6657160318	0.6585701746
25	0.6680872653	0.6572525735
26	0.6667341567	0.6561168752
27	0.6676801459	0.6547998703
28	0.6678190137	0.6534305087
29	0.6689058524	0.6522634554
30	0.6674150424	0.6512588768
31	0.6693227092	0.6500661117
32	0.6684333911	0.6489109475
33	0.6672099419	0.6478700766
34	0.6680231967	0.6468313662
35	0.6673442423	0.6458311163
36	0.6686342357	0.6447468534
37	0.6706696519	0.6437538531
38	0.6722962662	0.6427292703
39	0.6713486005	0.6417275409
40	0.673944093	0.6408612933
41	0.6731926175	0.6398936224
42	0.6726677578	0.6388640588
43	0.6737079573	0.6379276287
44	0.6732267323	0.6369633011
45	0.6740490106	0.635771625
46	0.6749563251	0.6348546853
47	0.6738033968	0.6339720504
48	0.6740002056	0.6330797797
49	0.6753486464	0.6321322639
50	0.6760130986	0.6312153803
51	0.6743185079	0.6304086636
52	0.6737574146	0.6295221901
53	0.6733524355	0.6287065863
54	0.6750717507	0.6279805198
55	0.6767334361	0.6271668259
56	0.6773995078	0.626448582
57	0.6763502455	0.6254579768
58	0.6760303465	0.6245680992
59	0.6777823241	0.6236125658
60	0.6766393443	0.6227261904
61	0.6781397255	0.6218316244
62	0.6790174002	0.6210922052
63	0.6794385821	0.6203351581
64	0.6799139609	0.619519388
65	0.6805896806	0.6188789673
66	0.6801436634	0.6182974572
67	0.6808903477	0.6175886497
68	0.6810910582	0.6167052215
69	0.6810123988	0.6159018443
70	0.6815848902	0.6153501802
71	0.6825917572	0.6144936047
72	0.6830270048	0.6137547779
73	0.6836430845	0.6129167341
74	0.6837132881	0.6120388025
75	0.6824858757	0.6111755468
76	0.6828067296	0.6105119322
77	0.6848696366	0.609815539
78	0.6849568434	0.6091788465
79	0.6860728245	0.6084429342
80	0.6860142019	0.6077110477
81	0.6867606213	0.6069938785
82	0.6861434009	0.6063185052
83	0.6856084002	0.6056456008
84	0.6857791069	0.6049062316
85	0.6866501854	0.6041605652
86	0.6882716049	0.6036511687
87	0.688753987	0.6031187539
88	0.6900030886	0.6023635457
89	0.6893424036	0.6018353403
90	0.6894064303	0.6012867836
91	0.6892783505	0.6007103818
