iter	Logloss
0	0.6896756782
1	0.6860503889
2	0.6830324338
3	0.6796183376
4	0.6762523852
5	0.6730518145
6	0.6700903094
7	0.6669038777
8	0.6642352214
9	0.6615128592
10	0.6589619821
11	0.6561841904
12	0.6534946001
13	0.6507156167
14	0.6479626272
15	0.6454385942
16	0.642695506
17	0.640172532
18	0.6379745849
19	0.635768275
20	0.6333403592
21	0.6313654372
22	0.6294204661
23	0.6267110568
24	0.6245970044
25	0.6227285204
26	0.620757691
27	0.618666343
28	0.6169896659
29	0.6151112434
30	0.6129678451
31	0.6110849289
32	0.6093357843
33	0.6070258755
34	0.6051689518
35	0.6032519182
36	0.6016731634
37	0.6003188479
38	0.5984304696
39	0.5970980975
40	0.5955875557
41	0.5942287262
42	0.5922563519
43	0.5915850337
44	0.5902739204
45	0.5885650218
46	0.5872468985
47	0.5857664723
48	0.5844366208
49	0.5834355386
50	0.5818465936
51	0.5809523986
52	0.579654886
53	0.5784116996
54	0.5772487112
55	0.5766361397
56	0.5753526497
57	0.5741763122
58	0.5728019862
59	0.5716569515
60	0.5712796954
61	0.5703351544
62	0.5688357042
63	0.5680285842
64	0.5670730612
65	0.5658653772
66	0.5651976395
67	0.5640711477
68	0.5634964869
69	0.5622979676
70	0.5613479527
71	0.56028665
72	0.5595092326
73	0.5586269012
74	0.5578763701
75	0.5572488095
76	0.5567295479
77	0.5557533677
78	0.5549459787
79	0.5542170941
80	0.5533243584
81	0.5523734408
82	0.5515347998
83	0.5505542822
84	0.5500911198
85	0.5491906493
86	0.548997416
87	0.54801516
88	0.54733834
89	0.5466431673
90	0.5459742387
91	0.5456623075
92	0.5449128359
93	0.5441983952
94	0.5435430159
95	0.5426730422
96	0.5418785559
97	0.5410134353
98	0.5400487988
99	0.5393550167
100	0.5389019639
101	0.5379992564
102	0.5372717921
103	0.5366023394
104	0.5358921486
105	0.5354955124
106	0.5346958723
107	0.5338549106
108	0.5331308119
109	0.5325986141
110	0.5319093124
111	0.5310794607
112	0.530971323
113	0.5305256232
114	0.5297056242
115	0.529543555
116	0.528689357
117	0.5280023876
118	0.5274520281
119	0.5268367006
120	0.5262280378
121	0.5256652879
122	0.5251212471
123	0.524656177
124	0.5240752879
125	0.5235330167
126	0.5231110553
127	0.5226627478
128	0.5222749693
129	0.5213222754
130	0.5210024068
131	0.5203185172
132	0.5197012212
133	0.5191826949
134	0.5187299352
135	0.5182576512
136	0.5177266737
137	0.517065451
138	0.5168566034
139	0.5165286936
140	0.5161090601
141	0.5157914947
142	0.5153939481
143	0.5148815736
144	0.5143070596
145	0.5137549857
146	0.5132580863
147	0.5128603124
148	0.5124328911
149	0.5120321837
150	0.5117024651
151	0.5113403452
152	0.5108035813
153	0.5104353177
154	0.5099706897
155	0.509657478
156	0.5093844403
157	0.5090149908
158	0.5083643244
159	0.5082391433
160	0.507844555
161	0.5074300417
162	0.5069072006
163	0.5064302037
164	0.5059967141
165	0.5058355598
166	0.505406582
167	0.5049393314
168	0.5045064276
169	0.504480796
170	0.5039629951
171	0.5033832546
172	0.503003306
173	0.5027804062
174	0.5024686581
175	0.5020881637
176	0.501777631
177	0.5015868119
178	0.5012687569
179	0.5008270552
180	0.5002851687
181	0.499642444
182	0.4991717871
183	0.4987809019
184	0.498469873
185	0.4981849384
186	0.4978672068
187	0.4975104485
188	0.4974026967
189	0.4969619195
190	0.4966836517
191	0.4963148841
192	0.4959028921
193	0.4954927976
194	0.4953003963
195	0.4948788357
196	0.4945493714
197	0.4938783842
198	0.4935678775
199	0.4933220926
200	0.4930516481
201	0.4928994086
202	0.4926354113
203	0.4924140402
204	0.4921606878
205	0.4918147756
206	0.4916470126
207	0.4912108419
208	0.4908796191
209	0.4907262256
210	0.4903363856
211	0.4899412051
212	0.489662686
213	0.4896109884
214	0.4891979981
215	0.4889151356
216	0.4886741385
217	0.4883634887
218	0.4882107922
219	0.4881370189
220	0.4879398214
221	0.487697733
222	0.4874263862
223	0.4872333779
224	0.4869113038
225	0.4867361907
226	0.486397504
227	0.4859841228
228	0.4857283681
229	0.4853908456
230	0.4850241279
231	0.4847194682
232	0.4842413482
233	0.4839020905
234	0.4836683903
235	0.4832947871
236	0.4831416387
237	0.482836308
238	0.4824095649
239	0.4820669527
240	0.4817764066
241	0.4814688353
242	0.4810283902
243	0.4808308197
244	0.4805742179
245	0.4804183098
246	0.4801864218
247	0.4799846349
248	0.4798729656
249	0.4797575595
250	0.4794333814
251	0.4791663857
252	0.4788462604
253	0.4784188045
254	0.4780924836
255	0.4776597128
256	0.477208804
257	0.4769863083
258	0.4768038111
259	0.4766410604
260	0.4763372234
