iter	Passed	Remaining
0	2	2512
1	5	2585
2	7	2367
3	8	2143
4	10	2003
5	12	2014
6	13	1935
7	15	1871
8	15	1741
9	17	1703
10	18	1620
11	19	1600
12	21	1602
13	22	1616
14	24	1611
15	26	1619
16	28	1638
17	29	1625
18	31	1614
19	32	1612
20	35	1633
21	36	1604
22	37	1593
23	39	1586
24	40	1566
25	41	1560
26	44	1593
27	46	1603
28	46	1573
29	48	1566
30	50	1582
31	52	1579
32	53	1566
33	55	1571
34	56	1571
35	58	1575
36	60	1571
37	61	1551
38	63	1558
39	65	1581
40	67	1580
41	69	1581
42	70	1578
43	71	1556
44	73	1566
45	75	1567
46	77	1563
47	78	1560
48	80	1560
49	81	1544
50	83	1548
51	84	1533
52	86	1537
53	87	1539
54	89	1537
55	90	1522
56	92	1524
57	93	1523
58	95	1526
59	97	1527
60	98	1509
61	99	1499
62	100	1498
63	103	1517
64	105	1515
65	106	1512
66	108	1515
67	111	1523
68	112	1521
69	114	1522
70	116	1520
71	118	1521
72	120	1525
73	121	1525
74	123	1528
75	125	1529
76	127	1522
77	128	1523
78	131	1529
79	132	1528
80	135	1531
81	136	1532
82	138	1530
83	140	1530
84	142	1533
85	144	1532
86	144	1519
87	146	1519
88	148	1519
89	150	1518
90	151	1517
91	152	1507
92	154	1506
93	156	1504
94	158	1508
95	160	1508
96	162	1509
97	164	1512
98	166	1513
99	167	1509
100	169	1508
101	171	1508
102	173	1507
103	174	1506
104	176	1505
105	178	1503
106	180	1508
107	182	1506
108	184	1504
109	185	1502
110	187	1501
111	189	1501
112	190	1491
113	191	1489
114	193	1487
115	194	1482
116	196	1483
117	198	1484
118	200	1483
119	202	1483
120	204	1485
121	206	1483
122	207	1481
123	209	1480
124	211	1482
125	213	1481
126	215	1479
127	216	1477
128	219	1478
129	220	1478
130	222	1476
131	224	1473
132	226	1474
133	228	1476
134	229	1473
135	231	1470
136	233	1469
137	235	1469
138	236	1464
139	238	1464
140	240	1464
141	242	1464
142	244	1463
143	246	1462
144	247	1461
145	249	1460
146	251	1459
147	253	1458
148	254	1455
149	257	1458
150	259	1456
151	260	1455
152	262	1454
153	264	1454
154	266	1453
155	268	1451
156	269	1449
157	271	1448
158	273	1447
159	274	1441
160	276	1439
161	277	1436
162	279	1436
163	281	1434
164	283	1432
165	284	1427
166	285	1425
167	287	1424
168	289	1422
169	289	1415
170	291	1413
171	293	1413
172	295	1413
173	296	1409
174	298	1407
175	300	1405
176	301	1403
177	303	1400
178	304	1398
179	306	1398
180	309	1398
181	311	1398
182	313	1397
183	314	1396
184	316	1395
185	318	1395
186	320	1393
187	322	1391
188	323	1387
189	325	1386
190	327	1385
191	328	1383
192	330	1380
193	332	1379
194	333	1378
195	335	1376
196	337	1374
197	338	1373
198	341	1373
199	342	1371
200	344	1370
201	346	1369
202	348	1369
203	351	1369
204	353	1369
205	355	1369
206	357	1370
207	359	1368
208	361	1366
209	363	1365
210	365	1365
211	366	1364
212	368	1362
213	369	1356
214	371	1356
215	373	1355
216	375	1354
217	377	1352
218	379	1352
219	380	1347
220	381	1345
221	383	1342
222	384	1341
223	386	1339
224	388	1338
225	390	1337
226	392	1335
227	394	1336
228	396	1334
229	398	1332
230	399	1330
231	401	1328
232	403	1327
233	405	1325
234	406	1323
235	408	1321
236	409	1318
237	411	1316
238	413	1315
239	414	1313
240	416	1311
241	418	1310
242	420	1309
243	422	1307
244	423	1306
245	425	1304
246	427	1303
247	429	1301
248	430	1298
249	432	1296
250	434	1295
251	436	1294
252	437	1292
253	440	1292
254	441	1290
255	443	1289
256	445	1287
257	447	1287
258	449	1286
259	451	1285
260	453	1284
261	455	1282
262	457	1280
263	458	1279
264	460	1277
265	462	1275
266	464	1273
267	465	1271
268	467	1270
269	469	1268
270	471	1267
271	472	1265
272	474	1264
273	476	1262
274	477	1260
275	479	1258
276	481	1256
277	483	1255
278	484	1253
279	487	1252
280	489	1251
281	490	1249
282	492	1247
283	494	1246
284	496	1245
285	498	1244
286	500	1242
287	502	1241
288	503	1239
289	505	1236
290	506	1235
291	508	1234
292	510	1231
293	511	1229
294	513	1227
295	515	1225
296	517	1224
297	518	1222
298	520	1220
299	521	1217
300	523	1216
301	525	1214
302	527	1213
303	528	1210
304	530	1208
305	532	1207
306	533	1205
307	535	1203
308	537	1201
309	538	1199
310	540	1197
311	542	1195
312	543	1193
313	545	1192
314	547	1190
315	549	1188
316	550	1187
317	552	1185
318	554	1183
319	555	1181
320	557	1179
321	559	1177
322	561	1176
323	563	1175
324	565	1173
325	565	1170
326	567	1168
327	569	1166
328	571	1165
329	573	1163
330	574	1161
331	576	1159
332	577	1157
333	579	1156
334	581	1153
335	583	1152
336	585	1151
337	587	1150
338	589	1148
339	590	1147
340	592	1145
341	594	1144
342	595	1140
343	596	1137
344	598	1136
345	600	1134
346	602	1133
347	604	1131
348	605	1129
349	606	1127
350	608	1125
351	610	1123
352	612	1121
353	613	1120
354	615	1118
355	617	1116
356	619	1115
357	621	1113
358	622	1112
359	624	1110
360	626	1109
361	629	1109
362	631	1107
363	633	1106
364	634	1104
365	637	1103
366	638	1101
367	641	1101
368	645	1103
369	647	1102
370	650	1102
371	652	1102
372	654	1100
373	657	1099
374	658	1096
375	660	1095
376	662	1094
377	664	1093
378	666	1092
379	669	1091
380	671	1090
381	673	1088
382	674	1087
383	676	1085
384	678	1084
385	681	1084
386	683	1083
387	686	1082
388	688	1080
389	690	1079
390	692	1077
391	694	1076
392	696	1075
393	697	1072
394	699	1071
395	701	1070
396	703	1068
397	705	1066
398	706	1064
399	708	1062
400	710	1061
401	712	1059
402	713	1057
403	715	1055
404	718	1054
405	720	1053
406	721	1051
407	723	1049
408	725	1047
409	726	1045
410	728	1044
411	730	1042
412	732	1041
413	734	1039
414	736	1038
415	739	1038
416	742	1037
417	743	1035
418	745	1033
419	747	1031
420	749	1030
421	752	1030
422	753	1028
423	755	1026
424	757	1024
425	759	1022
426	760	1021
427	762	1019
428	764	1017
429	766	1016
430	768	1014
431	769	1012
432	772	1011
433	774	1009
434	775	1007
435	777	1006
436	779	1004
437	781	1003
438	783	1001
439	785	999
440	787	998
441	789	996
442	791	995
443	792	992
444	794	991
445	797	990
446	798	988
447	800	986
448	802	984
449	804	982
450	805	980
451	807	978
452	808	976
453	810	974
454	812	973
455	814	971
456	816	969
457	817	967
458	819	966
459	821	964
460	823	962
461	825	960
462	826	958
463	829	957
464	831	956
465	833	954
466	835	953
467	837	951
468	839	950
469	841	948
470	843	946
471	845	945
472	847	943
473	848	942
474	850	940
475	851	937
476	853	935
477	855	934
478	856	931
479	858	929
480	860	928
481	862	926
482	864	924
483	865	923
484	867	921
485	869	919
486	870	917
487	872	915
488	874	914
489	876	911
490	878	910
491	880	908
492	881	907
493	883	905
494	885	903
495	887	902
496	889	900
497	891	898
498	894	897
499	896	896
500	898	894
501	899	892
502	901	890
503	903	888
504	904	886
505	906	885
506	908	883
507	909	881
508	910	878
509	912	876
510	914	874
511	915	872
512	916	870
513	918	868
514	919	866
515	921	864
516	923	862
517	925	860
518	926	858
519	928	857
520	930	855
521	933	854
522	935	852
523	937	851
524	938	849
525	940	847
526	942	845
527	943	843
528	945	841
529	946	839
530	948	837
531	950	835
532	951	834
533	953	832
534	955	830
535	957	828
536	958	826
537	960	824
538	962	823
539	964	821
540	966	819
541	967	817
542	969	815
543	971	814
544	973	812
545	975	810
546	977	809
547	978	807
548	980	805
549	982	803
550	984	802
551	986	800
552	987	798
553	989	796
554	991	795
555	993	793
556	994	791
557	996	789
558	998	787
559	999	785
560	1001	783
561	1002	781
562	1005	780
563	1006	778
564	1008	776
565	1010	774
566	1012	773
567	1013	771
568	1015	769
569	1017	767
570	1019	765
571	1022	764
572	1024	763
573	1026	761
574	1028	759
575	1030	758
576	1032	756
577	1033	754
578	1035	753
579	1037	751
580	1038	749
581	1040	747
582	1042	745
583	1043	743
584	1045	741
585	1047	739
586	1048	737
587	1050	736
588	1052	734
589	1053	732
590	1055	730
591	1057	728
592	1059	727
593	1061	725
594	1062	723
595	1064	721
596	1066	719
597	1068	718
598	1070	716
599	1072	714
600	1074	713
601	1075	711
602	1077	709
603	1079	707
604	1081	706
605	1083	704
606	1085	702
607	1086	700
608	1088	698
609	1090	697
610	1092	695
611	1093	693
612	1095	691
613	1097	689
614	1098	687
615	1100	685
616	1101	684
617	1103	682
618	1105	680
619	1107	678
620	1108	676
621	1110	674
622	1112	673
623	1113	671
624	1115	669
625	1117	667
626	1118	665
627	1120	663
628	1121	661
629	1123	660
630	1126	658
631	1127	656
632	1129	654
633	1131	652
634	1132	651
635	1134	649
636	1136	647
637	1137	645
638	1139	643
639	1141	641
640	1143	640
641	1145	638
642	1147	636
643	1148	635
644	1150	633
645	1152	631
646	1153	629
647	1155	627
648	1157	626
649	1159	624
650	1161	622
651	1163	620
652	1166	619
653	1168	618
654	1170	616
655	1172	614
656	1175	613
657	1177	611
658	1179	610
659	1180	608
660	1182	606
661	1184	604
662	1186	602
663	1188	601
664	1190	599
665	1191	597
666	1193	595
667	1195	594
668	1196	592
669	1198	590
670	1201	588
671	1203	587
672	1204	585
673	1206	583
674	1208	581
675	1210	579
676	1212	578
677	1214	576
678	1216	574
679	1218	573
680	1220	571
681	1223	570
682	1225	568
683	1228	567
684	1230	565
685	1232	564
686	1234	562
687	1236	560
688	1238	559
689	1240	557
690	1243	555
691	1245	554
692	1247	552
693	1249	550
694	1251	549
695	1253	547
696	1255	545
697	1257	543
698	1259	542
699	1262	541
700	1265	539
701	1270	539
702	1274	538
703	1278	537
704	1281	536
705	1283	534
706	1285	532
707	1287	531
708	1290	529
709	1293	528
710	1295	526
711	1298	525
712	1301	523
713	1303	522
714	1305	520
715	1307	518
716	1309	517
717	1312	515
718	1314	513
719	1317	512
720	1320	510
721	1322	509
722	1324	507
723	1326	505
724	1328	503
725	1330	502
726	1332	500
727	1333	498
728	1336	496
729	1339	495
730	1341	493
731	1343	492
732	1346	490
733	1348	488
734	1350	486
735	1351	484
736	1353	483
737	1355	481
738	1358	479
739	1360	477
740	1362	476
741	1364	474
742	1367	472
743	1369	471
744	1371	469
745	1373	467
746	1375	465
747	1377	464
748	1379	462
749	1381	460
750	1383	458
751	1385	456
752	1387	455
753	1388	453
754	1391	451
755	1393	449
756	1395	447
757	1396	445
758	1398	444
759	1400	442
760	1402	440
761	1403	438
762	1405	436
763	1407	434
764	1408	432
765	1410	430
766	1413	429
767	1415	427
768	1417	425
769	1419	423
770	1420	422
771	1422	420
772	1424	418
773	1425	416
774	1427	414
775	1429	412
776	1432	411
777	1434	409
778	1436	407
779	1438	405
780	1440	403
781	1442	402
782	1444	400
783	1446	398
784	1449	396
785	1451	395
786	1454	393
787	1457	392
788	1460	390
789	1463	388
790	1466	387
791	1468	385
792	1471	384
793	1473	382
794	1475	380
795	1477	378
796	1480	377
797	1482	375
798	1484	373
799	1486	371
800	1488	369
801	1491	368
802	1493	366
803	1495	364
804	1497	362
805	1499	360
806	1501	359
807	1505	357
808	1509	356
809	1512	354
810	1515	353
811	1517	351
812	1519	349
813	1521	347
814	1523	345
815	1525	343
816	1527	342
817	1530	340
818	1532	338
819	1533	336
820	1535	334
821	1537	333
822	1539	331
823	1541	329
824	1543	327
825	1545	325
826	1547	323
827	1550	322
828	1552	320
829	1554	318
830	1557	316
831	1560	315
832	1564	313
833	1569	312
834	1572	310
835	1575	309
836	1578	307
837	1580	305
838	1582	303
839	1585	301
840	1587	300
841	1590	298
842	1594	296
843	1597	295
844	1600	293
845	1603	291
846	1607	290
847	1610	288
848	1612	286
849	1615	285
850	1617	283
851	1619	281
852	1622	279
853	1624	277
854	1627	275
855	1630	274
856	1633	272
857	1636	270
858	1638	268
859	1640	267
860	1642	265
861	1645	263
862	1649	261
863	1655	260
864	1660	259
865	1662	257
866	1665	255
867	1667	253
868	1669	251
869	1672	249
870	1674	247
871	1675	246
872	1677	244
873	1679	242
874	1682	240
875	1684	238
876	1686	236
877	1688	234
878	1690	232
879	1693	230
880	1696	229
881	1699	227
882	1704	225
883	1707	224
884	1709	222
885	1712	220
